Ref,Val,Package,PosX,PosY,Rot,Side
R1315,215R,R_0603,106.750000,-101.750000,180.000000,top
R1321,499R,R_0603,103.500000,-95.750000,180.000000,top
R1331,49R9,R_0603,105.750000,-84.250000,90.000000,top
R1401,1k,R_0603,119.000000,-144.500000,0.000000,top
R1402,1k,R_0603,119.000000,-142.000000,0.000000,top
R1403,10R,R_0603,128.000000,-134.500000,90.000000,top
R1404,10k,R_0603,125.500000,-139.750000,0.000000,top
R1405,69R8,R_0603,125.500000,-136.750000,0.000000,top
R1406,100k,R_0603,117.000000,-104.500000,270.000000,top
R1407,499R,R_0603,125.500000,-133.750000,180.000000,top
R1408,49R9,R_0603,130.750000,-126.500000,90.000000,top
R1409,49R9,R_0603,127.750000,-84.250000,90.000000,top
R1410,332R,R_0603,127.750000,-124.000000,90.000000,top
R1411,215R,R_0603,128.500000,-121.750000,180.000000,top
R1412,1k,R_0603,125.500000,-98.750000,180.000000,top
R1413,75R,R_0603,125.500000,-117.250000,180.000000,top
R1414,100k,R_0603,124.250000,-100.250000,180.000000,top
R1415,332R,R_0603,127.750000,-104.000000,90.000000,top
R1416,332R,R_0603,127.750000,-98.000000,90.000000,top
R1417,499R,R_0603,125.500000,-114.250000,180.000000,top
R1418,49R9,R_0603,130.750000,-107.000000,270.000000,top
R1419,332R,R_0603,127.750000,-118.000000,90.000000,top
R1420,215R,R_0603,128.500000,-101.750000,180.000000,top
R1423,75R,R_0603,125.500000,-97.250000,0.000000,top
R1427,499R,R_0603,125.500000,-94.250000,180.000000,top
R1428,10R,R_0603,130.500000,-87.250000,270.000000,top
R1501,1k,R_0603,121.500000,-177.250000,0.000000,top
R1502,0R,R_0603,121.750000,-163.999999,180.000000,top
R1503,DNP,R_0603,119.000000,-162.500000,180.000000,top
R1504,DNP,R_0603,119.000000,-164.000000,180.000000,top
R1601,100k,R_0603,110.250000,-165.250000,180.000000,top
R1602,23k,R_0603,107.500000,-163.750000,180.000000,top
R1603,23k,R_0603,107.500000,-165.250000,180.000000,top
R1701,1k,R_0603,176.300000,-229.950000,0.000000,top
R1702,10k,R_0603,176.300000,-227.150000,0.000000,top
R1703,49R9,R_0603,177.750000,-238.750000,180.000000,top
R1801,1k,R_0603,143.750000,-148.000000,0.000000,top
R1802,1k,R_0603,147.750000,-148.000000,180.000000,top
R1803,100k,R_0603,139.000000,-104.500000,270.000000,top
R1804,10R,R_0603,148.750000,-134.500000,90.000000,top
R1805,10k,R_0603,146.500000,-138.500000,180.000000,top
R1806,100k,R_0603,145.250000,-100.250000,180.000000,top
R1807,1k,R_0603,146.500000,-98.750000,180.000000,top
R1808,499R,R_0603,146.500000,-135.250000,180.000000,top
R1809,DNP,R_0603,151.750000,-87.250000,90.000000,top
R1810,49R9,R_0603,151.750000,-126.500000,90.000000,top
R1811,332R,R_0603,146.500000,-136.750000,180.000000,top
R1812,75R,R_0603,146.500000,-97.250000,0.000000,top
R1813,332R,R_0603,148.750000,-124.000000,90.000000,top
R1814,332R,R_0603,149.000000,-98.000000,90.000000,top
R1815,215R,R_0603,149.750000,-101.750000,180.000000,top
R1821,499R,R_0603,146.500000,-95.750000,180.000000,top
R1831,49R9,R_0603,148.750000,-84.250000,90.000000,top
R1901,1k,R_0603,162.000000,-144.500000,0.000000,top
R1902,1k,R_0603,162.000000,-142.000000,0.000000,top
R1903,10R,R_0603,171.000000,-134.500000,90.000000,top
R1904,10k,R_0603,168.500000,-139.750000,0.000000,top
R1905,69R8,R_0603,168.500000,-136.750000,0.000000,top
R1906,100k,R_0603,160.000000,-104.500000,270.000000,top
R1907,499R,R_0603,168.500000,-133.750000,180.000000,top
R1908,49R9,R_0603,173.750000,-126.500000,90.000000,top
R1909,49R9,R_0603,170.750000,-84.250000,90.000000,top
R1910,332R,R_0603,170.750000,-124.000000,90.000000,top
R1911,215R,R_0603,171.500000,-121.750000,180.000000,top
